company_name,round_date
Rupeek,2017-01-25
M2P Fintech,2020-03-23
Licious,2016-04-22
Spinny,2019-02-27
Trell,2020-08-17
MediBuddy,2011-07-06
Pocket FM,2020-04-21
OYO,2015-03-25
Digit Insurance,
CARS24,2015-11-25
FamPay,2021-06-15
InCred,2016-08-22
Upstox,2016-01-21
MPL,2018-06-06
ACKO,2017-06-28
Lendingkart,None
Pickrr,2020-09-12
ElasticRun,2017-03-31
HealthKart,2011-12-22
BetterPlace,2018-02-16
KredX,2016-10-25
WinZO,2019-02-13
Ola Electric,2019-02-26
Impact Guru,2018-04-07
Ather Energy,2015-03-30
Simple Site,
Tracxn,None
Fraazo,2021-07-02
MindTickle,2015-11-19
1mg,2015-04-20
OneScore,2020-04-15
Pratilipi,2018-02-05
Bizongo,2016-09-08
Mfine,2018-03-29
Infra.Market,2019-12-02
Zoomcar,None
Arzooo,2020-03-18
HomeLane,2015-01-16
CoinDCX,2020-03-24
WakeFit,2018-12-11
slice,2017-07-17
Glance,2019-09-10
Netmeds.com,2015-05-02
Whatfix,2017-04-04
Ninjacart,2015-08-21
Zypp Electric,2021-03-30
Zeta,2016-01-19
MedGenome,2014-06-04
Zopper,2013-01-25
LetsTransport,None
Chalo,2017-06-01
ZestMoney,2016-12-07
Park Plus,2019-12-23
Happiest Minds,2011-11-15
Zetwerk,2019-03-08
Yulu Bikes,None
Purplle,2015-01-05
ShopKirana,2018-09-13
InShorts,2015-02-16
Vogo,2018-04-18
Porter,2015-06-10
Spice Money,2006-11-28
LivSpace,2014-12-17
ToothSi,2021-01-08
EarlySalary,2017-05-10
Jupiter,2019-10-31
Furlenco,None
InterviewBit,2020-01-28
TenderCuts,2021-02-06
Bijnis,2020-07-18
OLA Money,
Wysa,2020-10-06
BlackBuck,2015-08-01
RenewBuy,-
CleanMax,2015-07-21
DarwinBox,2017-06-13
Zivame,2012-03-14
DealShare,2019-04-17
Bobble AI,2015-09-30
,None
UrbanPiper,2019-09-30
Vyapar,2019-09-03
BeatO,2019-09-05
Indifi,2015-09-28
Vivriti Capital,2018-12-19
Exotel,2012-03-23
Lido,2019-05-23
XpressBees,2015-11-05
Pristyn Care,2019-01-29
FreshToHome Foods,2017-01-27
PhysicsWallah,2022-06-07
Ecom Express,2014-08-04
Stanza Living,2018-09-25
Medikabazaar,2018-09-24
Xoxoday,2022-02-23
IntrCity SmartBus,
Cashfree Payments,2019-04-09
Testbook,2017-03-31
Melorra,2017-05-26
CollegeDekho,2018-02-02
Cuemath,2016-03-14
BlueStone,2012-01-24
Eightfold,2017-09-01
WorkIndia,2019-02-28
MX Player,2019-10-29
Servify,2016-11-01
OneCard,2019-07-12
Moonfrog Labs,2015-03-11
Ayu Health,2021-05-20
MyGate,2017-06-02
IndiQube,2018-06-05
Scripbox,2015-05-25
magicpin,2015-08-21
Talview,2019-05-24
DailyRounds,2016-06-17
BigHaat,
Ftcash,2019-05-02
Fisdom,2016-10-05
Country Delight,
SUGAR Cosmetics,2019-01-31
LocoNav,2017-10-23
Healthians,2016-10-24
FlexiLoans,
PlaySimple,2016-11-11
Hasura,2020-02-26
Doubtnut,2020-01-18
Portea,2013-12-02
Smytten,2021-08-24
Ezetap,2012-08-15
LambdaTest,2020-11-16
MoneyTap,2017-06-13
PlayShifu,2019-07-24
RailYatri,2016-04-25
SuperZop,2021-09-20
Living Food,2022-01-05
Samunnati,2017-02-02
Goodera,2016-08-18
BluSmart,2021-04-17
Fynd,2015-12-14
Captain Fresh,2021-07-15
Bombay Shaving Company,2018-07-20
FabHotels,2016-06-28
Disprz,2018-03-30
Rentomojo,2016-07-13
OZiva,2020-06-25
Mylo,2020-03-04
JusPay,2015-12-16
Log9 Materials,2019-10-12
LendenClub,2021-12-07
Oxyzo,2022-03-23
Leena AI,2020-11-02
Kuku FM,2020-01-04
Redcliffe Labs,2021-03-01
Cogoport,2017-12-12
Atomberg,2019-09-04
Hopscotch,
Bombay Play,2022-04-04
Itilite,2018-10-26
Money View,2015-04-20
Wooden Street,2018-06-16
DaMENSCH,2020-11-10
Lokal,2019-10-10
Leverage Edu,2021-02-18
Quick Ride,-
Livpure,2013-07-26
Unicommerce,2014-11-07
Embibe,2014-02-13
Rooter,2022-01-12
PropTiger,2012-04-20
Quantiphi,2019-12-20
Ultrahuman,2019-12-11
Progcap,2019-07-31
Quizizz,2018-08-09
LeadSquared,2019-05-14
BabyChakra,2016-01-09
Toppr,2014-05-24
Curefoods,2021-08-25
KreditBee,2017-01-01
Facilio,2018-12-06
Airmeet,2020-09-15
Kuvera,2019-03-23
RapidBox,2022-03-23
NewsBytes,2020-04-28
Mintifi,2019-05-09
Plum,2018-08-20
Hevo,2020-07-29
EazyDiner,2015-08-25
Credgenics,2021-07-26
Kissht,2017-06-22
Skit,2020-04-24
Cityflo,2019-12-30
Jumbotail,None
Increff,None
Urban Ladder,2013-11-18
SAMCO,None
Bewakoof,None
DocsApp,None
NestAway,2015-02-23
Propelld,None
Open Secret,2021-07-16
Qure.ai,None
JetSynthesys,2015-04-27
AgniKul,2021-05-19
Care Health Insurance,None
Biryani By Kilo,2019-06-17
CoutLoot,None
IndiaLends,None
Miko,2019-08-13
Newton School,None
Euler Motors,2020-01-29
Yoga Bar,None
Adonmo,2022-01-28
Jugnoo,2015-06-05
Zaggle,2022-05-18
DrinkPrime,None
GetMega,None
Grameen Koota,2009-01-01
Stellapps,2017-03-16
Avail Finance,None
Indus OS,2016-01-19
Clovia,None
Bounce,2022-04-26
Vauld,2021-07-29
WhiteHat Jr,2019-08-30
Gramophone,2019-04-10
Financepeer,2020-06-24
Active.Ai,2016-11-14
Stashfin,2020-03-19
your-space,2020-02-24
StanPlus,2022-01-24
Excitel,
Waahjobs,2015-11-04
Treebo Hotels,2015-06-15
The Moms Co,None
GPS Renewables,2020-09-30
ePayLater,2021-08-20
MCaffeine,None
Pitstop,None
Saveo,None
Sterling Accuris Diagnostics,None
Box8,None
Tripoto,None
Intello Labs,None
Pepper Content,None
WeRize,2019-01-12
CreditVidya,2016-06-08
Blowhorn,2017-02-16
Anunta,2013-01-24
Brick&Bolt,2020-08-27
SuperGaming,2021-08-26
Niramai,2018-11-27
NODWIN Gaming,2020-03-25
Simility,
Virohan,2020-07-17
Kinara Capital,2013-04-10
BYJU'S Exam Prep,2015-09-11
Pocket Aces,2016-11-28
XYXX,2021-06-09
Prayosha Food Services,2020-02-10
Shipsy,2020-11-09
Dozee,2021-03-27
FloBiz,2020-11-11
Ultraviolette,2018-08-08
Biconomy,2021-07-28
Kristal,2019-12-01
Sirona,2021-03-18
Amaha,2021-02-04
ZipLoan,2017-10-17
Faasos,2011-01-01
Scaler,
Mswipe,2012-12-01
KrazyBee,2017-01-01
Juicy Chemistry,2019-09-25
Revv,2016-12-07
Ashoka Concessions,None
Medlife,2019-04-11
Rivigo,2015-04-22
Chaayos,2015-05-15
EKincare,2017-12-11
Convosight,2021-06-14
Tata Digital Health,2010-09-01
CORE Diagnostics,2013-01-01
HealthPlix,2018-07-31
Finnable,2021-04-30
LoveLocal,2019-10-11
SmartWorks,2017-07-14
Questt,2021-10-21
Pure Romance,None
Aye Finance,None
Satyamicrocapital,None
Magzter,2012-01-01
CreditMantri,2015-05-19
Cygni Energy,2018-08-16
IDfy,2017-12-23
Zostel,2015-07-15
Little Black Book,2019-04-03
Novopay,2015-01-28
OkCredit,2019-06-10
Drip Capital,2017-01-01
Truemeds,2021-03-23
Lohum,2020-03-19
Skyroot,2021-05-20
LogiNext,2015-09-22
Riskcovry,None
MyShubhLife,2018-08-24
Daalchini,2022-09-07
EnKash,2019-04-18
AgNext,2021-08-19
Signzy,2018-11-06
Foyr,2015-05-26
PaySense,2016-12-21
HCA,
Blue Tokai Coffee,2019-05-22
Kapiva,2020-12-31
mPokket,2019-11-26
Setu,2020-04-14
Design Cafe,
Oye Rickshaw,2020-01-25
Hello English,2015-02-27
SilverPush,
FarMart,2021-10-21
PropertyShare,2019-01-22
Pixxel,2021-04-14
Fleetx,2019-08-16
NopaperForms,
Easebuzz,2021-03-31
Crofarm,2021-07-16
Flipspaces,2018-12-14
GetVantage,2022-06-24
CASHe,2017-04-01
NirogStreet,2021-07-22
TrulyMadly,2015-03-02
Snapmint,2021-11-19
Ergos,2020-03-30
Fyle,2018-11-21
Sunstone,2020-07-13
Freyr Energy,2018-11-26
Epigamia,2016-07-21
CloudSEK,2021-11-22
Lentra,2019-11-21
Third Wave Coffee Roasters,2022-05-04
Practically,2019-08-23
PlanetSpark,2021-02-10
FirstMeridian,2018-07-13
Fincare Business Services,2015-01-08
LoanTap,2016-08-29
EHFL,2021-06-18
Bikayi,2021-09-03
SaaS Labs,2021-03-10
TheMathCompany,2022-01-13
Shop101,2018-07-11
Adda247,2016-11-12
Housr,2019-12-12
SUN Mobility,2019-05-31
Load Share,2018-03-28
GOQii,2015-11-12
Little Internet,2015-07-29
Droom,2015-07-30
DotPe,2021-03-26
Soothe Healthcare,2016-05-17
Nuance,
POPxo,2015-11-06
FAB BAG,2017-05-04
Magma HDI General Insurance,
Masai School,2021-03-25
Smart Joules,2021-03-17
M1xchange,2019-01-23
Entropik Tech,2020-08-04
Detect Technologies,2018-10-31
Daily Ninja,2017-12-01
Leap Finance,2020-03-03
Genworks Health,
Chqbook,2020-02-25
Freight Tiger,2019-03-26
Collpoll,2021-08-05
Emiza,2017-03-21
Airblack,2021-05-01
Bijak,2020-03-21
CredAvenue,2021-09-29
Ketto,
O4S,2021-07-19
