company_name,round_date
Hashtag Loyalty,2021-10-28
Animall,2020-11-18
Invixium,2017-10-27
Videogram,2015-02-09
Hippo Video,2020-09-09
Bolt,2017-08-01
Zefo,2016-11-15
Coding Ninjas,2020-02-11
Truebil,None
Yapi Kredi,
LYNK logistics,2019-02-23
Sarva,2018-06-29
Zeno Health,2018-12-19
Goodbox,2015-11-10
Telrad,2005-06-23
Salesken,2020-03-06
Bonito Designs,2021-08-02
Doceree,2022-04-06
BroEx,2016-06-06
Ripplr,2020-10-29
Foodpanda India,2016-06-01
90+ My Tuition App,2021-05-24
Imarticus,
Quintype,2020-09-01
HotLink,2011-08-09
Velocity Global,2021-04-05
Craftsvilla,2012-04-01
Foresight Group,2017-03-17
Statiq,2022-06-23
Soulfull,2019-09-27
Instamojo,2014-11-13
Perpule,2018-11-14
AssetPlus,2022-04-28
Eupheus,2019-12-10
Brinton Pharmaceuticals,2017-03-30
Zuper,2022-01-21
Otovo,2017-07-10
One Impression,2022-01-06
True Balance,2016-03-29
Skillmatics,2020-12-24
Adpushup,2016-08-09
Sminq,2016-05-12
Wicked Ride,2018-06-22
Clensta,2021-09-03
String Bio,
TartanSense,2021-08-25
Gamezop,2020-07-13
Let's Recycle,2013-01-12
Voylla,2015-09-24
SigTuple,2017-02-09
CrediHealth,2017-04-17
Raw Pressery,2016-02-23
ZebPay,2016-01-06
Svami,2020-10-01
Wellbeing Nutrition,2021-06-17
Svarochi,2017-02-14
Orbo,2020-05-22
EkAnek,2020-09-14
Zarget,2016-11-02
CityKart,2019-01-24
Joveo,2018-02-07
LegalDesk,2022-05-30
Theobroma,2017-03-31
VnF,2021-06-01
BRIDGEi2i,2016-06-01
BangDB,2021-04-07
GramCover,2021-10-05
BGauss,2022-04-27
Niki,2017-04-01
5C Network,2022-03-16
SecureNow,2019-05-15
Sequretek,2017-05-09
Samosa Party,
Shiksha Finance,2018-12-19
PagarBook,2020-10-29
Doxper,2019-08-01
Browntape,2015-04-20
RedCarpetUp,2017-06-21
NuvoEx,2015-04-14
Mad Street Den,2016-06-01
The Whole Truth Foods,2021-07-27
Arré,2016-04-27
SteradianSemi,2020-05-29
Bugworks Research,2018-08-13
DataWeave,2015-04-01
LifeCare Health Partners,
Zvolv,2021-11-22
CrediWatch,2019-10-11
Entri,2022-02-16
Samosa Singh,2019-12-04
RemitGuru,2021-04-29
Happy Loans,2019-04-11
Koye Pharmaceuticals,2015-03-30
Fipola,2021-03-15
Enrich,2010-09-15
Massive Restaurants,2015-06-29
Nestasia,2021-12-15
PepperTap,2015-04-14
Intelligence Node,2015-08-18
MayaData,
ShopX,2018-08-07
HalaPlay,2019-03-18
Simpliwork,2019-04-29
Finity,2017-11-10
KlaySchools,2013-01-01
Fyllo,2020-08-12
Flock Freight,2017-01-01
Hudle,2022-07-06
Dogsee Chew,
Verloop.io,2018-11-16
Revx,2015-08-25
Adlabs Imagica,2013-09-18
Medwell Ventures,2014-04-21
Mihup,2019-04-30
Square Panda,2018-02-27
Absolute Barbecue,2017-11-08
PlayerzPot,2020-10-27
walnut,2021-08-31
Arrivae,2021-12-14
ShoppinPal,2016-07-14
Kamatan,2019-09-17
NxtGen Datacenter,
Locofast,2021-10-05
CallHealth,2015-11-02
Bright LifeCare,2011-11-05
Baby Destination,2021-05-28
AINU,2013-03-20
Sewa Grih RIN Limited,2015-04-24
AnalyticsVidhya,2021-09-20
The Ayurveda Experience,2019-01-29
MarketWolf,2022-07-05
Ascenso,2019-12-20
OnlineTyari,2016-09-14
Bigspoon,2022-08-09
Bombay Shirt Company,2019-11-07
Burger Singh,2018-04-05
TrusTrace,2021-10-14
Marquee Equity,2021-02-17
Recordent,
Faclon Labs,2022-06-08
Housejoy,2015-06-19
WhistleDrive,2018-04-26
StoreKing,2015-01-12
VIVIFI,2019-03-30
Glamyo Health,2021-10-21
OneCode,2021-07-15
Our Food,2022-01-25
Zimmber,2016-07-11
IndiaFilings,2022-01-17
Fable Fintech,2016-11-30
SchoolGuru,2015-10-07
Spoton Logistics,2018-08-24
Reapit,
BookMyForex,2016-03-23
Pocket52,2020-06-02
iBus Networks,2015-12-30
ZunRoof,2020-03-02
Grabhouse,2015-01-28
Zapr,2016-01-14
Smaaash Entertainment,2014-05-08
ShopSe,2022-05-24
CustomFurnish,2015-12-07
Shoptimize,2020-04-20
OnlineSales,2020-11-12
Eyestem,2022-08-08
PeeSafe,2019-10-23
Runnr,2015-06-15
Shippable,2014-11-10
GegaDyne,2021-01-15
Upwards,2018-08-03
DaveAI,2022-05-27
Immuneel,2019-11-20
BalleBaazi,2019-07-01
Astrome,2021-07-19
FabAlley,2016-10-13
Aether Biomedical,2021-08-11
i2e1,2017-04-07
Verzeo,2018-09-10
AdmitKard,2022-04-05
Wmall,2019-02-13
Medkart,2021-11-23
Mech Mocha,2017-04-26
Culture Machine,2014-09-01
EasyRewardz,2017-11-13
Oriano Solar,2017-03-31
Avanti Communications,
Arcion,2022-02-17
EM3 Agri Services,2015-06-02
psbloansin59minutes.com,2018-07-16
GramFactory,2019-09-11
Syook,2021-08-24
Wholesalebox,2018-07-20
The Label Life,2017-11-29
ScoopWhoop,2015-11-17
Fintso,2020-03-14
Be Well Hospitals,2012-01-20
NEETprep,2020-02-05
Synapsica,2021-06-23
Anthem,None
BuildSupply,2018-12-01
GrownOut,2014-10-08
HappyEasyGo,2018-09-03
AbleTo,2013-05-14
Airpay,2017-03-21
Punjab Renewable Energy Systems,2013-09-20
Propstack,2015-06-02
Zimyo,2022-03-03
PayPhi,2020-10-16
Diro,2022-01-18
Trinity Mobility,2020-11-16
Express Clinics,2012-08-17
Univariety,2017-12-19
Affordplan,2016-11-16
Hansel,2018-08-07
Drivezy,2017-10-06
Aureus,2019-02-01
Power Gummies,2022-01-07
Teabox,2015-03-24
Aryadhan,2020-03-05
WelcomeCure,2017-04-03
Mokobara,2022-03-31
Connect India,2015-07-31
Bare Anatomy,2022-04-26
The Beer Cafe,2013-05-15
Settlin,2022-06-20
Allygrow,2015-08-11
Greenway Appliances,2015-12-29
Myra Medicines,2017-04-26
Nat Habit,2020-04-20
Elastic,2012-11-08
Farmley,2022-07-28
ShipsKart,2022-03-16
Online PSB Loans,2018-07-15
Vahak,2022-06-16
Car IQ,2019-06-25
YoloBus,2020-06-08
Broker Network,2021-10-04
Care24,2016-01-13
Captain Zack,2018-10-16
Josh Talks,2022-05-10
Fitternity,2018-03-14
Yepme,2015-01-09
ImmunoACT,2021-11-19
Draup,2022-03-21
Mosambee,2013-09-16
AutoNinja,2015-10-08
Sindhuja Microcredit,2019-03-01
Avenue Growth,2021-09-15
Altum Credo,2018-04-12
Zettata,2016-01-05
Coolberg,2019-09-26
Mukunda Foods,2020-06-16
Loan Frame,2019-12-20
Bolo Live,2022-01-05
Lohono,2021-02-05
LearnApp,2022-05-19
NeoStencil,2017-02-02
Lavelle Networks,2018-04-09
ParallelDots,2022-05-16
Roposo,2015-03-26
AhaGuru,2020-09-10
Absolute Software,None
LinkStreet,2014-12-12
Zentron Labs,2021-01-25
Invictus Oncology,2013-02-09
School Of Accelerated Learning,2020-08-21
TripHobo,2014-06-30
Twixor,2022-05-02
CredAble,2018-04-11
Optimized Electrotech,2019-02-07
Homekraft,2018-06-13
WheelsEMI,2017-03-24
ZappFresh,2018-03-19
Shopalyst,2015-10-02
Ignitarium,2019-06-30
Cancer Clinics,2019-06-03
The Family Doctor,2011-12-07
TurboHire,
MoMAGIC Technologies,2011-08-19
Top Rankers,2022-06-13
Biryani Blues,2015-08-13
Autorox,2017-07-10
FreeWill,-
FlixStock,2020-03-02
Solethreads,2021-03-30
Game IMax,None
Hasiru Dala Innovations,2021-04-21
NLPBots,2021-04-28
Talentedge,
LimeTray,2014-10-01
SarvaGram,
Ovum Hospitals,2016-08-01
BECO,2022-08-09
Rent Alpha,2016-01-15
Wiz,2020-12-09
New Street Technologies,2021-04-23
Khelomore,2020-09-08
Fingerlix,2017-04-05
Ibotta,2013-04-23
SP Robotic Works,2019-01-01
CRIDS,2011-01-01
Goapptiv,2022-06-27
Maverix Platforms,2017-04-05
Lilac Insights,2017-06-05
Gramin Healthcare,2017-04-07
FingPay,2020-03-31
TVFPlay,2015-12-01
Essmart,2018-09-01
Roadrunnr,2015-07-15
Hippocampus,2021-07-05
Isprava,2017-02-03
Swipe Technologies,2014-04-16
Mubble,2015-10-12
Airmed,2016-12-09
Specsmakers,2017-12-15
Neewee,2019-04-15
Symbolab,
4TiGO,2017-05-02
Arata,2021-07-22
Chef's Basket,2015-11-10
NumberMall,2014-09-27
Vajro,2022-01-24
Elevar Sports,2021-08-12
Switch Mobility,
Magnifi,2021-10-07
EdgeTensor,2021-03-09
PiggyRide,None
Proteon Phar,2021-08-10
PrintVenue,
Shortlist,2019-01-29
Ability Games,2011-03-24
Buddy4study,2018-03-01
Barrix Agro Sciences,2015-03-04
Molbio Diagnostics,
Clipapp,2017-12-14
KareXpert,2018-04-13
LetsShave,2018-10-26
IMASTUDENT,2016-12-01
Qtrove,
Little Laureates,2021-06-15
Stranger and Sons,2020-01-10
OncoStem,2017-09-06
Latest One,2015-12-23
Etrio,2020-09-29
QueueBuster,2022-06-13
Better Opinions,
POKKT,2014-07-08
Parentlane,2021-06-18
Ant Farm,2014-08-06
Alivira,
Swajal,2015-08-04
Tessolve Semiconductor,
Deeptek,2022-03-07
iNeuron,2021-12-16
PumPumPum,2022-06-02
Organic Harvest,
CHFL,2018-02-20
Belong,2015-06-01
EasyEcom,2022-01-06
CIEL HR,2022-03-30
HUVIAiR,2022-01-18
Wysh,2019-12-27
Varsity Tutors,2014-05-01
Smart Eye,
Jigsaw Academy,2015-12-04
Growfitter,
Bellatrix Aerospace,2021-06-03
Believe Distribution Services,
USPL World,
Frndly TV,2022-02-28
RforRabbit,2021-08-13
PMaps,2022-04-22
UC Inclusive Credit,2019-06-24
Consure Medical,2012-08-24
TSLC,2021-11-11
Mobile2Win India,
SkinKraft,2020-07-17
MaxCure Hospitals,2017-05-15
Oku Tech,2016-03-31
Qikwell,2014-11-24
AntWorks,2018-07-30
Predible,2018-02-22
TinyOwl,2014-08-01
Jaypore,2016-02-05
RFCL,2018-01-01
Tapits Technologies,2020-03-03
AntWak,2022-07-06
FlintoClass,2020-07-02
White Owl Brewery,
Wow Momo Foods,
It Works,None
Style Baazar,2018-03-07
Zeven,2015-11-17
ClayWorks,2022-03-09
Sayre Therapeutics,2015-06-23
Food Service,2021-02-16
John Jacobs Eyewear,2018-02-04
CREO Tech,2016-01-21
Newspace Research and Technologies,2019-01-11
CoinTribe,
AcadGild,2016-10-16
GabbarDeals,2018-08-01
Vendiman,None
Graphicpop,2017-12-01
Cellix,2015-08-03
LivQuik,2021-09-09
ThePrint,2019-05-10
Pandorum,2017-12-30
Capacite Infraproject,2016-03-09
Ottomate,2019-07-15
Veri5Digital,2019-08-02
StayGlad,2015-11-27
Finbingo,2022-04-09
Quikwallet,2015-03-31
CureJoy,2016-06-14
OfBusiness,2015-09-26
Leap India Food and Logistics,
1-India Family Mart,2017-12-13
KapitalTech,2016-05-03
RealBooks,2022-02-28
Behtar,None
WOW Express,2018-06-11
Manufacton,2017-09-18
Boutique Spirit Brands,2021-08-05
Sparsh Nephrocare,2014-03-27
Aviom,2018-02-05
Seniority,2018-05-25
Invoice Bazaar,2017-10-25
ShieldSquare,2017-10-26
SoOLEGAL,2020-10-20
IncNut Digital,2020-03-24
KNAB Finance,None
TripFactory,2015-07-30
Schedulers Logistics,2014-06-09
Global CP,2014-02-14
Pi DATACENTERS,2016-06-02
Simply Braces,2020-08-13
Innovcare Life Sciences,2015-07-02
Voxelgrids,2021-06-11
Esyasoft,2020-05-12
Quiph,2022-01-27
MeraJob,2014-02-10
Just Dogs,2022-03-02
Flintobox,2017-12-05
Magic Crate,2018-07-10
WudStay,2015-07-07
BluArmor,2019-01-29
EduKart,2014-12-01
ConnectOne Bank,
CapriCoast,2015-12-14
Securens,2014-03-12
Wydr,2016-11-01
Assiduus,2020-09-16
Abundantia Entertainment,2014-03-25
IndInfravit,
Rusk Media,2022-08-16
